timestamp,x,y,z
2025-04-07 12:58:29.771674156,-314,-227,2029
2025-04-07 12:58:29.787294865,-343,-227,2027
2025-04-07 12:58:29.802915335,-359,-243,2026
2025-04-07 12:58:29.818536043,-342,-236,2021
2025-04-07 12:58:29.834156513,-317,-251,2023
2025-04-07 12:58:29.849777222,-311,-228,2034
2025-04-07 12:58:29.865397692,-320,-229,2038
2025-04-07 12:58:29.881018162,-339,-235,2011
2025-04-07 12:58:29.896638870,-335,-228,2023
2025-04-07 12:58:29.912259340,-333,-237,2003
2025-04-07 12:58:29.927880049,-342,-232,2025
2025-04-07 12:58:29.943500519,-303,-225,2022
2025-04-07 12:58:29.959121227,-297,-220,2025
2025-04-07 12:58:29.974741697,-301,-233,2031
2025-04-07 12:58:29.990362167,-296,-238,2047
2025-04-07 12:58:30.005982876,-310,-215,2027
2025-04-07 12:58:30.021603346,-316,-221,2038
2025-04-07 12:58:30.037224054,-307,-228,2024
2025-04-07 12:58:30.052844524,-297,-200,2026
2025-04-07 12:58:30.068465233,-289,-219,2026
2025-04-07 12:58:30.084085703,-298,-211,2028
2025-04-07 12:58:30.099706173,-288,-225,2022
2025-04-07 12:58:30.115326881,-286,-220,2025
2025-04-07 12:58:30.130947350,-287,-218,2039
2025-04-07 12:58:30.146568060,-272,-245,2034
2025-04-07 12:58:30.162188530,-296,-228,2019
2025-04-07 12:58:30.177809238,-287,-214,2019
2025-04-07 12:58:30.193429708,-259,-225,2018
2025-04-07 12:58:30.209050179,-266,-214,2022
2025-04-07 12:58:30.224670887,-275,-221,2028
2025-04-07 12:58:30.240291357,-271,-211,2026
2025-04-07 12:58:30.255912066,-294,-202,2045
2025-04-07 12:58:30.271532536,-283,-198,2045
2025-04-07 12:58:30.287153244,-269,-204,2040
2025-04-07 12:58:30.302773714,-252,-193,2034
2025-04-07 12:58:30.318394184,-269,-208,2037
2025-04-07 12:58:30.334014893,-271,-210,2042
2025-04-07 12:58:30.349635363,-274,-209,2034
2025-04-07 12:58:30.365256071,-262,-206,2045
2025-04-07 12:58:30.380876541,-246,-194,2032
2025-04-07 12:58:30.396497250,-277,-192,2035
2025-04-07 12:58:30.412117720,-271,-210,2045
2025-04-07 12:58:30.427738190,-283,-211,2025
2025-04-07 12:58:30.443358898,-284,-194,2034
2025-04-07 12:58:30.458979368,-281,-205,2037
2025-04-07 12:58:30.474600077,-244,-215,2026
2025-04-07 12:58:30.490220547,-261,-199,2039
2025-04-07 12:58:30.505841255,-266,-210,2041
2025-04-07 12:58:30.521461725,-271,-221,2028
2025-04-07 12:58:30.537082195,-263,-208,2031
2025-04-07 12:58:30.552702904,-265,-196,2024
2025-04-07 12:58:30.568323374,-255,-199,2037
2025-04-07 12:58:30.583944082,-274,-216,2034
2025-04-07 12:58:30.599564552,-267,-216,2037
2025-04-07 12:58:30.615185261,-253,-226,2045
2025-04-07 12:58:30.630805731,-265,-201,2034
2025-04-07 12:58:30.646426201,-253,-202,2040
2025-04-07 12:58:30.662046909,-253,-211,2033
2025-04-07 12:58:30.677667379,-256,-213,2034
2025-04-07 12:58:30.693288088,-260,-225,2034
2025-04-07 12:58:30.708908558,-260,-206,2030
2025-04-07 12:58:30.724529028,-274,-207,2026
2025-04-07 12:58:30.740149736,-265,-191,2023
2025-04-07 12:58:30.755770206,-255,-211,2047
2025-04-07 12:58:30.771390915,-267,-207,2021
2025-04-07 12:58:30.787011385,-252,-192,2039
2025-04-07 12:58:30.802632093,-267,-195,2037
2025-04-07 12:58:30.818252563,-265,-201,2061
2025-04-07 12:58:30.833873034,-308,-220,2051
2025-04-07 12:58:30.849493742,-395,-229,2086
2025-04-07 12:58:30.865114212,-411,-216,2211
2025-04-07 12:58:30.880734921,-398,-253,2337
2025-04-07 12:58:30.896355391,-309,-206,2461
2025-04-07 12:58:30.911976099,-103,-148,2446
2025-04-07 12:58:30.927596569,14,-200,2177
2025-04-07 12:58:30.943217039,-132,-106,2114
2025-04-07 12:58:30.958837748,-388,-218,2329
2025-04-07 12:58:30.974458218,-505,-151,2365
2025-04-07 12:58:30.990078926,-663,-231,2112
2025-04-07 12:58:31.005699396,-682,-348,1973
2025-04-07 12:58:31.021320105,-780,-279,2013
2025-04-07 12:58:31.036940575,-645,-155,2342
2025-04-07 12:58:31.052561045,-703,-327,2090
2025-04-07 12:58:31.068181753,-609,-259,1942
2025-04-07 12:58:31.083802223,-657,-262,1946
2025-04-07 12:58:31.099422932,-577,-230,1914
2025-04-07 12:58:31.115043402,-603,-224,1870
2025-04-07 12:58:31.130664110,-822,-180,1857
2025-04-07 12:58:31.146284580,-921,-187,1751
2025-04-07 12:58:31.161905050,-958,-146,1810
2025-04-07 12:58:31.177525759,-979,-108,1873
2025-04-07 12:58:31.193146229,-959,-60,1855
2025-04-07 12:58:31.208766937,-922,-15,1873
2025-04-07 12:58:31.224387407,-908,-1,1808
2025-04-07 12:58:31.240008116,-893,3,1674
2025-04-07 12:58:31.255628586,-911,1,1578
2025-04-07 12:58:31.271249056,-898,-22,1459
2025-04-07 12:58:31.286869764,-931,28,1407
2025-04-07 12:58:31.302490234,-1002,60,1484
2025-04-07 12:58:31.318110943,-1133,72,1541
2025-04-07 12:58:31.333731413,-1215,112,1575
2025-04-07 12:58:31.349352121,-1250,189,1535
2025-04-07 12:58:31.364972591,-1214,201,1459
2025-04-07 12:58:31.380593061,-1171,247,1319
2025-04-07 12:58:31.396213770,-1162,276,1250
2025-04-07 12:58:31.411834240,-1133,292,1201
2025-04-07 12:58:31.427454948,-1118,329,1303
2025-04-07 12:58:31.443075418,-1035,360,1411
2025-04-07 12:58:31.458696127,-1093,484,1542
2025-04-07 12:58:31.474316597,-1110,543,1538
2025-04-07 12:58:31.489937067,-1105,603,1505
2025-04-07 12:58:31.505557775,-1081,675,1520
2025-04-07 12:58:31.521178245,-1054,722,1464
2025-04-07 12:58:31.536798954,-1070,856,1425
2025-04-07 12:58:31.552419424,-1141,888,1384
2025-04-07 12:58:31.568040133,-1269,904,1365
2025-04-07 12:58:31.583660603,-1330,1006,1333
2025-04-07 12:58:31.599281073,-1396,1034,1319
2025-04-07 12:58:31.614901781,-1363,1086,1273
2025-04-07 12:58:31.630522251,-1311,1129,1324
2025-04-07 12:58:31.646142960,-1315,1139,1340
2025-04-07 12:58:31.661763430,-1351,1193,1498
2025-04-07 12:58:31.677384138,-1350,1108,1556
2025-04-07 12:58:31.693004608,-1260,955,1441
2025-04-07 12:58:31.708625078,-1262,1692,1233
2025-04-07 12:58:31.724245787,-1374,1668,1214
2025-04-07 12:58:31.739866257,-1273,1300,1122
2025-04-07 12:58:31.755486965,-1150,1274,1243
2025-04-07 12:58:31.771107435,-1089,1258,1218
2025-04-07 12:58:31.786728144,-928,1496,1248
2025-04-07 12:58:31.802348614,-898,1078,1323
2025-04-07 12:58:31.817969084,-914,1257,1329
2025-04-07 12:58:31.833589792,-834,1368,1518
2025-04-07 12:58:31.849210262,-713,1405,1387
2025-04-07 12:58:31.864830971,-587,1422,1530
2025-04-07 12:58:31.880451441,-506,1322,1633
2025-04-07 12:58:31.896072149,-626,1506,1491
2025-04-07 12:58:31.911692619,-710,1323,1533
2025-04-07 12:58:31.927313089,-679,1246,1483
2025-04-07 12:58:31.942933798,-588,1250,1518
2025-04-07 12:58:31.958554268,-568,1106,1505
2025-04-07 12:58:31.974174976,-661,1141,1579
2025-04-07 12:58:31.989795446,-321,832,1651
2025-04-07 12:58:32.005416155,-419,1204,1686
2025-04-07 12:58:32.021036625,-535,1010,1725
2025-04-07 12:58:32.036657095,-619,1064,1733
2025-04-07 12:58:32.052277803,-639,1032,1764
2025-04-07 12:58:32.067898273,-476,916,1603
2025-04-07 12:58:32.083518982,-465,1210,1628
2025-04-07 12:58:32.099139452,-482,1055,1495
2025-04-07 12:58:32.114760160,-349,911,1534
2025-04-07 12:58:32.130380630,-162,1073,1532
2025-04-07 12:58:32.146001101,-111,896,1595
2025-04-07 12:58:32.161621809,-188,717,1592
2025-04-07 12:58:32.177242279,-337,666,1551
2025-04-07 12:58:32.192862988,-219,622,1580
2025-04-07 12:58:32.208483458,43,533,1663
2025-04-07 12:58:32.224103928,133,576,1769
2025-04-07 12:58:32.239724636,122,653,1885
2025-04-07 12:58:32.255345106,68,747,1971
2025-04-07 12:58:32.270965815,201,811,1981
2025-04-07 12:58:32.286586285,-193,783,2024
2025-04-07 12:58:32.302206993,-230,776,2110
2025-04-07 12:58:32.317827463,318,739,1692
2025-04-07 12:58:32.333447933,21,695,1947
2025-04-07 12:58:32.349068642,185,934,2648
2025-04-07 12:58:32.364689112,91,742,2209
2025-04-07 12:58:32.380309820,-44,653,1981
2025-04-07 12:58:32.395930290,-191,667,1863
2025-04-07 12:58:32.411550999,-351,784,1715
2025-04-07 12:58:32.427171469,-374,1022,1660
2025-04-07 12:58:32.442791939,-534,1485,1495
2025-04-07 12:58:32.458412647,-592,1622,1519
2025-04-07 12:58:32.474033117,-591,1050,1813
2025-04-07 12:58:32.489653826,-553,1336,1432
2025-04-07 12:58:32.505274295,-263,1410,1282
2025-04-07 12:58:32.520895004,98,1258,1378
2025-04-07 12:58:32.536515474,-52,986,1741
2025-04-07 12:58:32.552135944,453,483,3380
2025-04-07 12:58:32.567756653,-701,457,2181
2025-04-07 12:58:32.583377123,-225,644,1800
2025-04-07 12:58:32.598997831,-348,836,1930
2025-04-07 12:58:32.614618301,-205,693,1916
2025-04-07 12:58:32.630239010,6,697,1835
2025-04-07 12:58:32.645859480,143,798,1831
2025-04-07 12:58:32.661479950,239,885,1890
2025-04-07 12:58:32.677100658,103,1033,1718
2025-04-07 12:58:32.692721128,94,1075,1792
2025-04-07 12:58:32.708341837,-26,1020,1957
2025-04-07 12:58:32.723962307,-199,958,1898
2025-04-07 12:58:32.739583015,-249,912,1903
2025-04-07 12:58:32.755203485,-42,985,1883
2025-04-07 12:58:32.770823956,68,1149,1771
2025-04-07 12:58:32.786444664,148,1159,1770
2025-04-07 12:58:32.802065134,168,918,1861
2025-04-07 12:58:32.817685843,25,632,1920
2025-04-07 12:58:32.833306313,-168,440,1940
2025-04-07 12:58:32.848927021,-176,353,1988
2025-04-07 12:58:32.864547491,-106,474,1957
2025-04-07 12:58:32.880167961,-64,423,1969
2025-04-07 12:58:32.895788670,-38,335,1955
2025-04-07 12:58:32.911409140,-62,331,1864
2025-04-07 12:58:32.927029848,-222,319,1829
2025-04-07 12:58:32.942650318,-158,580,1843
2025-04-07 12:58:32.958271027,-54,1058,1810
2025-04-07 12:58:32.973891497,91,1251,1749
2025-04-07 12:58:32.989511967,68,984,1849
2025-04-07 12:58:33.005132675,93,775,1882
2025-04-07 12:58:33.020753145,84,577,1985
2025-04-07 12:58:33.036373854,171,697,2024
2025-04-07 12:58:33.051994324,104,733,2075
2025-04-07 12:58:33.067615032,1,576,2061
2025-04-07 12:58:33.083235502,12,310,1978
2025-04-07 12:58:33.098855972,59,289,1912
2025-04-07 12:58:33.114476681,-21,447,1941
2025-04-07 12:58:33.130097151,-69,611,2010
2025-04-07 12:58:33.145717859,-30,906,1939
2025-04-07 12:58:33.161338329,-135,1115,1801
